[2025-01-11 17:55:01] info: 	z2m: Upstairs TV Outlet (0x282c02bfffe8cb89): 3RSP02028BZ - Third Reality Zigbee / BLE smart plug with power (Router)
[2025-01-11 17:55:01] info: 	z2m: Bedroom Repeater (0x00124b0022d5f9a3): SA-003-Zigbee - eWeLink Zigbee smart plug (Router)
[2025-01-11 17:55:01] info: 	z2m: Coffee Switch (0x000d6f0003bf5a9f): 4257050-RZHAC - Centralite 3-Series smart outlet (Router)
[2025-01-11 17:55:01] info: 	z2m: Michaels Office 4-Button Controller (0x90395efffe0feee2): TS0044 - Tuya Wireless switch with 4 buttons (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Michaels Office Door (0x286d97000107a4a2): IM6001-MPP01 - SmartThings Multipurpose sensor (2018 model) (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Archers Bedroom Door (0x282c02bfffe86622): 3RDS17BZ - Third Reality Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Small Hallway Motion (0xa4c13852a506917f): ZMS-102 - Tuya Motion sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Bedroom Door (0xa4c1380bc5e10eea): TS0203 - Tuya Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Bedroom Motion (0x282c02bfffed45f9): 3RMS16BZ - Third Reality Wireless motion sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Mudroom Motion (0x00124b002a4f5a0b): SNZB-03 - SONOFF Motion sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Front Door (0x282c02bfffe869e4): 3RDS17BZ - Third Reality Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Dog Food Container (0x282c02bfffe871a6): 3RDS17BZ - Third Reality Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Hallway Motion by Doorbell Sensor (0x00124b002a4ed235): SNZB-03 - SONOFF Motion sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Candys Office Door (0xa4c138989749fbcf): TS0203 - Tuya Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Archers Bedroom Window - Side (0xa4c138f5aa095bee): SNZB-04 - SONOFF Contact sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Archers Bedroom Window - Back (0xa4c1383fa239339d): SNZB-04 - SONOFF Contact sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Downstairs Window 1 (0xa4c1387f3608d7f4): TS0203 - Tuya Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Downstairs Window 2 (0xa4c13844f7590c7b): TS0203 - Tuya Door sensor (EndDevice)
[2025-01-11 17:55:01] info: 	z2m: Downstairs Window 3 (0xa4c138b8764ec65e): TS0203 - Tuya Door sensor (EndDevice)
